profile_text,career_label,source,label_encoded,text_stripped,profile_text_clean
"Engineering professional skilled in data analytics, reporting. Targeting a role in Data Analytics and Business Intelligence. Focus area: Regulatory Reporting Analyst.",DATA_ANALYST,postings,2,"Engineering professional skilled in data analytics, reporting","Engineering student. Engineering professional skilled in data analytics, reporting"
"Engineering professional skilled in firewalls, devops. Targeting a role in DevOps and Cloud Infrastructure. Focus area: Network Engineer.",DEVOPS_CLOUD,postings,4,"Engineering professional skilled in firewalls, devops",Engineering student with experience in devops.
Engineering professional skilled in java. Targeting a role in Backend and Server-side Development. Focus area: Senior Java Developer With Trading Experiences.,SWE_BACKEND,postings,8,Engineering professional skilled in java,Engineering student with experience in java.
Engineering professional skilled in oracle. Targeting a role in Data Engineering and Pipelines. Focus area: Ellucian Banner System Administrator / Dba.,DATA_ENGINEER,postings,3,Engineering professional skilled in oracle,Engineering student with experience in oracle.
"Engineering professional skilled in information security, microservices, cybersecurity, kubernetes, devops, aws. Targeting a role in Cybersecurity and Information Security. Focus area: Cloud Security Consultant.",CYBERSECURITY,postings,1,"Engineering professional skilled in information security, microservices, cybersecurity, kubernetes, devops, aws","Engineering student with skills in information security, cybersecurity, kubernetes, devops, aws."
"Engineering professional skilled in terraform, ansible, python, puppet, linux, perl, bash, chef. Targeting a role in Backend and Server-side Development. Focus area: Linux Automation Systems Engineer.",SWE_BACKEND,postings,8,"Engineering professional skilled in terraform, ansible, python, puppet, linux, perl, bash, chef","Engineering student with skills in terraform, ansible, python, linux, bash."
"Engineering professional skilled in microservices, spring boot, serverless, postgres, angular, spring, lambda, react. Targeting a role in Backend and Server-side Development. Focus area: Senior Java Engineer / Saas / Full Stack.",SWE_BACKEND,postings,8,"Engineering professional skilled in microservices, spring boot, serverless, postgres, angular, spring, lambda, react","Engineering student with skills in spring boot, angular, spring, react."
"Engineering professional skilled in information security, cybersecurity. Targeting a role in Cybersecurity and Information Security. Focus area: Associate Managing Consultant Cybersecurity.",CYBERSECURITY,postings,1,"Engineering professional skilled in information security, cybersecurity","Engineering student with skills in information security, cybersecurity."
"Engineering professional skilled in product management, data analytics, reporting. Targeting a role in Product Management and Strategy. Focus area: Data Strategy Program Manager Vp.",PRODUCT_MANAGER,postings,7,"Engineering professional skilled in product management, data analytics, reporting",Engineering student with experience in product management.
"Engineering professional skilled in data analytics, etl, sql. Targeting a role in Data Analytics and Business Intelligence. Focus area: Jr Etl/Msbi Developer.",DATA_ANALYST,postings,2,"Engineering professional skilled in data analytics, etl, sql",Engineering student with experience in sql.
"Engineering professional skilled in machine learning, iot. Targeting a role in Embedded Systems and IoT. Focus area: Robotics Engineer.",EMBEDDED_IOT,postings,5,"Engineering professional skilled in machine learning, iot",Engineering student with experience in machine learning.
"Engineering professional skilled in containerization, devops, ci/cd, aws. Targeting a role in DevOps and Cloud Infrastructure. Focus area: Aws Cloud Infrastructure And Devops Technical Sme.",DEVOPS_CLOUD,postings,4,"Engineering professional skilled in containerization, devops, ci/cd, aws","Engineering student with skills in devops, ci/cd, aws."
Engineering professional skilled in data analytics. Targeting a role in Data Analytics and Business Intelligence. Focus area: Sr Sap Sd/Le Business Analyst.,DATA_ANALYST,postings,2,Engineering professional skilled in data analytics,Engineering student. Engineering professional skilled in data analytics
"Engineering professional skilled in java, go. Targeting a role in Backend and Server-side Development. Focus area: Lead Software Engineer Backend Java Go.",SWE_BACKEND,postings,8,"Engineering professional skilled in java, go","Engineering student with skills in java, go."
Engineering professional interested in Backend and Server-side Development. Focus area: Associate Engineer A.,SWE_BACKEND,postings,8,Engineering professional,Engineering student. Engineering professional
"Engineering professional skilled in kubernetes, golang, devops. Targeting a role in DevOps and Cloud Infrastructure. Focus area: Kubernetes Engineer.",DEVOPS_CLOUD,postings,4,"Engineering professional skilled in kubernetes, golang, devops","Engineering student with skills in kubernetes, golang, devops."
